poem_nb|title|text
6|Двубой|хамалин от Алжир,
6|Двубой|поет...
6|Двубой|Навред съм аз!
6|Двубой|Навред съм аз!
6|Двубой|Как мислиш,
6|Двубой|ще ли победиш,
6|Двубой|навъсен, мръсен,
6|Двубой|зъл живот?
6|Двубой|И аз
6|Двубой|горя,
6|Двубой|и ти гориш,
6|Двубой|и двамата
6|Двубой|се къпем в пот.
6|Двубой|Но ти изчерпваш свойте сили,
6|Двубой|слабееш ти,
6|Двубой|отпадаш ти.
6|Двубой|Затуй така жестоко жилиш,
6|Двубой|в предсмъртен ужас
6|Двубой|може би...
6|Двубой|Тогаз,
6|Двубой|на твойто място,
6|Двубой|дружно,
6|Двубой|ще изградим със много пот
6|Двубой|един живот
6|Двубой|желан
6|Двубой|и нужен,
6|Двубой|и то
6|Двубой|какъв живот!
7|Писмо|Ти помниш ли
7|Писмо|морето и машините
7|Писмо|и трюмовете, пълни
7|Писмо|с лепкав мрак?
7|Писмо|И онзи див копнеж
7|Писмо|по Филипините,
7|Писмо|по едрите звезди
7|Писмо|над Фамагуста?
7|Писмо|Ти помниш ли поне един моряк,
7|Писмо|нехвърлил жаден взор далече,
7|Писмо|там, дето в гаснещата вечер
7|Писмо|дъхът на тропика се чувства?
7|Писмо|Ти помниш ли как в нас
7|Писмо|полека-лека
7|Писмо|изстиваха последните надежди
7|Писмо|и вярата
7|Писмо|в доброто
7|Писмо|и в човека,
7|Писмо|в романтиката,
7|Писмо|в празните
7|Писмо|копнежи?
7|Писмо|Ти помниш ли как
7|Писмо|някак много бързо
7|Писмо|ни хванаха в капана на живота?
7|Писмо|Опомнихме се.
7|Писмо|Късно.
7|Писмо|Бяхме вързани жестоко.
7|Писмо|Като някакви животни в клетка
7|Писмо|светкаха
7|Писмо|очите жадно
7|Писмо|и търсеха,
7|Писмо|и молеха пощада.
7|Писмо|А бяхме млади,
7|Писмо|бяхме толкоз млади!...
7|Писмо|И после... после
7|Писмо|някаква омраза
7|Писмо|се впиваше дълбоко във сърцата.
7|Писмо|Като гангрена,
7|Писмо|не, като проказа
7|Писмо|тя раснеше,
7|Писмо|разкапваше душата,
7|Писмо|тя сплиташе жестоките си мрежи
7|Писмо|на пустота
7|Писмо|и мрачна безнадеждност,
7|Писмо|тя пъплеше в кръвта,
7|Писмо|тя виеше с закана,
7|Писмо|а беше рано, беше много рано...
7|Писмо|А там -
7|Писмо|високо във небето,
7|Писмо|чудно
7|Писмо|трептяха пак на чайките крилата.
7|Писмо|Небето пак блестеше
7|Писмо|като слюда,
7|Писмо|простора пак бе син и необятен,
7|Писмо|на хоризонта пак полека-лека
7|Писмо|се губеха платната
7|Писмо|всяка вечер
7|Писмо|и мачтите изчезваха далеко,
7|Писмо|но ние бяхме ослепели вече.
7|Писмо|За мен това е минало - неважно.
7|Писмо|Но ний деляхме сламения одър
7|Писмо|и тебе чувствам нужда да разкажа
7|Писмо|как вярвам аз и колко днес съм бодър.
7|Писмо|Това е новото, което ме възпира
7|Писмо|да не пробия
7|Писмо|своя
7|Писмо|слепоочник.
7|Писмо|То злобата в сърцето
7|Писмо|трансформира
7|Писмо|в една борба,
7|Писмо|която
7|Писмо|днес
7|Писмо|клокочи.
7|Писмо|И то ще ни повърне Филипините
7|Писмо|и едрите звезди
7|Писмо|над Фамагуста,
7|Писмо|и радостта
7|Писмо|помръкнала в сърцето,
7|Писмо|и мъртвата ни обич към машините,
7|Писмо|и синята безбрежност на морето,
7|Писмо|където вятъра на тропика се чувства.
7|Писмо|Сега е нощ.
7|Писмо|Машината ритмично
7|Писмо|припява
7|Писмо|и навява топла вера.
7|Писмо|Да знаеш ти живота как обичам!
7|Писмо|И колко мразя
7|Писмо|празните
7|Писмо|химери...
7|Писмо|За мен е ясно, както че ще съмне -
7|Писмо|с главите си ще счупим ледовете.
7|Писмо|И слънцето на хоризонта
7|Писмо|тъмен,
7|Писмо|да, нашто
7|Писмо|ярко
7|Писмо|слънце
7|Писмо|ще просветне.
7|Писмо|И нека като пеперуда малка
7|Писмо|крилата ми
7|Писмо|опърли най-подире.
7|Писмо|Не ще проклинам,
7|Писмо|няма да се вайкам,
7|Писмо|защото все пак, знам,
7|Писмо|ще се умира.
7|Писмо|Но да умреш, когато
7|Писмо|се отърсва
7|Писмо|земята
7|Писмо|от отровната си
7|Писмо|плесен,
7|Писмо|когато милионите възкръсват,
7|Писмо|това е песен,
7|Писмо|да, това е песен!
8|Песен за човека|Ние спориме
8|Песен за човека|двама със дама
8|Песен за човека|на тема:
8|Песен за човека|Човекът във новото време.
8|Песен за човека|А дамата сопната, знаете -
8|Песен за човека|тропа, нервира се,
8|Песен за човека|даже проплаква.
8|Песен за човека|Залива ме с кални потоци
8|Песен за човека|от ропот
8|Песен за човека|и град от словесна
8|Песен за човека|атака.
8|Песен за човека|- Почакайте - казвам, - почакайте,
8|Песен за човека|нека... -
8|Песен за човека|Но тя ме прекъсва сърдито:
8|Песен за човека|- Ах, моля, запрете!
8|Песен за човека|Аз мразя човека.
8|Песен за човека|Не струва той вашта защита.
8|Песен за човека|Аз четох как някой
8|Песен за човека|насякъл с секира,
8|Песен за човека|насякъл сам брат си, човека.
8|Песен за човека|Измил се,
